# x_m,y_m
-9.543345,569.135425
-7.228629,573.564646
-4.912443,577.993099
-2.594372,582.420565
-0.273987,586.846819
2.049299,591.271551
4.376433,595.69426
6.708615,600.114309
9.047106,604.531023
11.393172,608.943717
13.748074,613.351702
16.113029,617.754299
18.488995,622.150965
20.876433,626.541414
23.275482,630.92553
25.686207,635.303237
28.108668,639.674461
30.54295,644.039112
32.989221,648.397055
35.447769,652.748084
37.918922,657.091965
40.402996,661.428471
42.900305,665.757368
45.41116,670.078422
47.935872,674.391394
50.47475,678.696042
53.028101,682.99212
55.59623,687.279381
58.17944,691.557572
60.77803,695.826437
63.392297,700.08572
66.022537,704.335156
68.669015,708.574492
71.332233,712.803335
74.01354,717.020734
76.714757,721.225407
79.437642,725.41608
82.183974,729.591427
84.955516,733.750084
87.754058,737.890616
90.580789,742.01196
93.435459,746.114
96.317245,750.197031
99.22545,754.261288
102.159344,758.307035
105.118219,762.334545
108.101381,766.344099
111.10891,770.335401
114.141959,774.30735
117.201595,778.25886
120.285145,782.191699
123.375286,786.1192
126.436162,790.06951
129.438337,794.064982
132.367473,798.114532
135.211043,802.22439
137.955989,806.40045
140.582873,810.651905
143.058437,814.993141
145.343693,819.437095
147.397882,823.992488
149.194274,828.655229
150.715132,833.41379
151.931503,838.259436
152.835811,843.173947
153.448476,848.133297
153.790498,853.118538
153.881387,858.114836
153.74039,863.110238
153.387984,868.095163
152.843666,873.062909
152.120488,878.008035
151.226295,882.924939
150.16879,887.809086
148.963135,892.658855
147.63199,897.475795
146.19297,902.261637
144.660907,907.018525
143.050178,911.749369
141.374953,916.457772
139.64924,921.147915
137.886915,925.824432
136.10176,930.492285
134.307495,935.156647
132.517825,939.822772
130.746465,944.495873
129.007209,949.181012
127.313739,953.882887
125.679252,958.605578
124.116798,963.352584
122.639604,968.126792
121.261048,972.93036
119.993939,977.76447
118.850377,982.629316
117.847035,987.525057
117.006327,992.451269
116.352002,997.40558
115.90796,1002.383089
115.698369,1007.375885
115.747298,1012.372689
116.07841,1017.358658
116.716004,1022.314739
117.68585,1027.216528
119.015093,1032.032988
120.726858,1036.726734
122.829675,1041.258327
125.319278,1045.589488
128.171169,1049.691523
131.352221,1053.543912
134.832589,1057.128415
138.583659,1060.428699
142.578081,1063.429915
146.789523,1066.118161
151.192291,1068.480066
155.761227,1070.501973
160.471412,1072.168574
165.297035,1073.463316
170.209422,1074.373616
175.176793,1074.908277
180.169817,1075.093013
185.164274,1074.941564
190.138533,1074.464738
195.073794,1073.680164
199.95407,1072.606354
204.76728,1071.263413
209.505723,1069.675945
214.165115,1067.869733
218.743664,1065.867714
223.239923,1063.686752
227.652114,1061.340088
231.979606,1058.840627
236.222946,1056.200685
240.383102,1053.431495
244.461194,1050.542968
248.460247,1047.545997
252.386467,1044.4541
256.245564,1041.278771
260.040731,1038.027295
263.774643,1034.70565
267.450183,1031.319529
271.070465,1027.874381
274.638987,1024.375643
278.159864,1020.82896
281.637566,1017.239915
285.076711,1013.613902
288.482032,1009.956103
