# a262b85f-d090-4bfc-aa27-752a7391c6dc,,,,,,,,,
# afd3be82cbbb3d33ea115b15c59834b0da2720a2,,,,,,,,,
# s, x, y, psi, kappa, vx, ax, steer_tire_deg, steer_wheel_deg, throttle_pct
189.9682395,191.0562398,15.2544617,-1.4800874,0.0000084,46.2756677,1.6206251,0.0007347,0.0028022,100
191.9679052,193.047683,15.4356159,-1.4800727,0.0000064,46.3456453,1.6134235,0.0005592,0.0021327,100
193.9675709,195.0391237,15.6167948,-1.4800628,0.0000035,46.4152071,1.6062539,0.0003073,0.001172,100
195.9672365,197.0305632,15.7979876,-1.4800589,0.0000001,46.4843564,1.5991162,0.0000122,0.0000465,100
197.9669022,199.0220032,15.9791809,-1.4800626,-0.0000038,46.5530964,1.5920102,-0.0003318,-0.0012654,100
199.9665679,201.0134434,16.1603585,-1.4800749,-0.0000086,46.6214303,1.5849358,-0.0007592,-0.0028958,100
201.9662336,203.0048875,16.3415018,-1.4800973,-0.000014,46.6893612,1.5778928,-0.0012293,-0.0046885,100
203.9658993,204.9963376,16.5225893,-1.4801311,-0.0000199,46.7568922,1.5708812,-0.0017469,-0.0066628,100
205.9655649,206.9877926,16.7035971,-1.4801775,-0.0000265,46.8240263,1.5639006,-0.0023336,-0.0089002,100
207.9652306,208.9792586,16.8844993,-1.4802374,-0.0000335,46.8907666,1.5569511,-0.0029483,-0.0112449,100
209.9648963,210.9707382,17.0652681,-1.4803117,-0.0000409,46.9571162,1.5500325,-0.0035934,-0.0137053,100
211.964562,212.962229,17.2458737,-1.480401,-0.0000485,47.0230779,1.5431446,-0.0042616,-0.0162538,100
213.9642276,214.9537395,17.4262865,-1.4805055,-0.000056,47.0886547,1.5362873,-0.0049247,-0.0187829,100
215.9638933,216.9452722,17.6064765,-1.4806249,-0.0000634,47.1538495,1.5294605,-0.0055792,-0.021279,100
217.963559,218.9368227,17.7864139,-1.4807585,-0.0000702,47.2186652,1.5226641,-0.0061713,-0.0235372,100
219.9632247,220.9284015,17.9660722,-1.4809052,-0.0000762,47.2831046,1.5158978,-0.0067025,-0.0255632,100
221.9628904,222.9200103,18.1454274,-1.4810628,-0.0000814,47.3471705,1.5091616,-0.00716,-0.0273084,100
223.962556,224.9116418,18.324459,-1.4812288,-0.0000844,47.4108658,1.5024553,-0.0074261,-0.028323,100
225.9622217,226.9033075,18.5031549,-1.4813999,-0.0000859,47.4741931,0.3753351,-0.0075526,-0.0288057,100
227.9618874,228.8950065,18.6815095,-1.4815712,-0.0000854,47.49,0,-0.0075143,-0.0286594,100
229.9615531,230.886729,18.8595255,-1.4817378,-0.0000809,47.49,0,-0.0071182,-0.0271488,100
231.9612188,232.8784847,19.0372198,-1.4818938,-0.0000738,47.49,0,-0.006489,-0.0247491,100
233.9608844,234.8702686,19.2146212,-1.4820311,-0.0000635,47.49,0,-0.0055866,-0.0213074,100
235.9605501,236.8620691,19.3917725,-1.4821422,-0.0000472,47.49,0,-0.0041509,-0.0158316,100
