# 505354ca-1117-48f2-a79c-ec62487a6a90,,,,,,,,,
# afd3be82cbbb3d33ea115b15c59834b0da2720a2,,,,,,,,,
# s, x, y, psi, kappa, vx, ax, steer_tire_deg, steer_wheel_deg, throttle_pct
221.8265204,204.4541263,-266.6223561,1.5943619,-0.0097339,25.4163606,3.2822318,-0.8560247,-3.2648782,100
223.8249575,202.454509,-266.6499754,1.5748382,-0.0097781,25.6731387,3.2676555,-0.8599105,-3.2796987,100
225.8233946,200.4582368,-266.6386901,1.5555125,-0.0095847,25.9262504,3.2531439,-0.8429006,-3.2148229,100
227.8218317,198.4606336,-266.5891757,1.5366421,-0.0092072,26.1758069,3.2386968,-0.8097147,-3.0882518,100
229.8202688,196.4618365,-266.5028246,1.5187913,-0.0086372,26.4219139,3.2243139,-0.7595868,-2.8970642,100
231.818706,194.4693711,-266.3831737,1.503502,-0.0066735,26.6646715,3.2099948,-0.5869071,-2.2384638,100
233.8171431,192.475487,-266.2367918,1.4923287,-0.0042302,26.9041754,3.1957393,-0.3720351,-1.4189419,100
235.8155802,190.4824161,-266.0736068,1.4868733,-0.0012372,27.1405162,3.1815471,-0.1088117,-0.4150079,100
237.8140173,188.4912457,-265.9055627,1.4872859,0.0016406,27.3737806,3.1674179,0.1442908,0.5503252,100
239.8124545,186.4984381,-265.743934,1.4933246,0.0042248,27.6040511,3.1533515,0.371562,1.4171374,100
241.8108916,184.5053691,-265.5991,1.5038976,0.0063635,27.8314065,3.1393476,0.5596484,2.134499,100
243.8093287,182.5094413,-265.4792435,1.5182007,0.007831,28.0559221,3.1254058,0.688699,2.626698,100
245.8077658,180.5132952,-265.3907016,1.5351396,0.0089764,28.2776699,3.111526,0.7894113,3.0108146,100
247.8062029,178.5157389,-265.3378107,1.5537282,0.0096322,28.496719,-4.5409151,0.847083,3.2307746,0
249.8046401,176.5165689,-265.3232578,1.5734075,0.0099775,28.1764712,-4.6463808,0.8774458,3.3465784,0
251.8030772,174.5193841,-265.3485355,1.5935726,0.0101933,27.8449731,-4.64575,0.8964215,3.4189515,0
253.8015143,172.5220897,-265.4144722,1.6140588,0.0103035,27.5095265,-4.6786949,0.9061071,3.4558925,0
255.7999514,170.5267426,-265.5213664,1.6344609,0.0100074,27.1675155,-4.876197,0.8800738,3.3566013,0
257.7983885,168.534236,-265.6680959,1.65399,0.0095284,26.8064237,-5.1421009,0.8379554,3.1959619,0
259.7968257,166.544472,-265.852743,1.6724869,0.0089802,26.4202956,-5.4298373,0.7897495,3.0121048,0
261.7952628,164.5587635,-266.073108,1.690079,0.0087236,26.0063385,-5.6037465,0.7671841,2.9260402,0
263.7936999,162.5764499,-266.3281565,1.7074106,0.0087399,25.5720975,-5.5186881,0.768616,2.9315013,0
265.792137,160.5995086,-266.618015,1.7255822,0.0094463,25.1371174,-5.1549178,0.8307329,3.1684154,0
267.7905741,158.6286098,-266.9452846,1.7455878,0.0108103,24.7238976,-4.6784508,0.9506661,3.6258405,0
269.7890113,156.6639657,-267.3153175,1.7689099,0.0125933,24.3428004,-4.0450425,1.1074295,4.2237362,0
271.7874484,154.7107718,-267.7346474,1.7964255,0.0149485,24.0084237,-3.4662658,1.3144763,5.0134126,0
273.7858855,152.7710811,-268.2120521,1.8285686,0.0171944,23.7181403,-2.9530595,1.5118825,5.76632,0
275.7843226,150.8467453,-268.7564108,1.8650815,0.0192655,23.4680031,-2.6098159,1.6938856,6.4604798,0
277.7827597,148.9476192,-269.3731878,1.9050637,0.0207883,23.2446997,-2.4896101,1.8276907,6.9708122,0
279.7811969,147.0755232,-270.0681982,1.9477396,0.0215642,23.0296636,-2.4829041,1.8958586,7.2308048,0
281.779634,145.2311953,-270.8446736,1.9907586,0.021378,22.8131881,-2.4670997,1.8795031,7.1684248,0
283.7780711,143.4301198,-271.696063,2.0343506,0.0224017,22.5960364,-2.290434,1.9694348,7.5114244,0
285.7765082,141.6612752,-272.6311057,2.0801308,0.0234333,22.3925498,-1.9599393,2.0600479,7.8570229,0
287.7749453,139.9388006,-273.647894,2.1285165,0.0250276,22.2169452,-1.8251593,2.2000696,8.3910655,0
289.7733825,138.2684754,-274.749817,2.1796462,0.0258914,22.0521592,-1.6675855,2.2759287,8.6803921,0
291.7718196,136.6588354,-275.9359719,2.2324419,0.0268383,21.9005158,-1.6490633,2.3590661,8.9974781,0
293.7702567,135.1135993,-277.2076675,2.2864816,0.0272566,21.7495171,-1.525924,2.3957953,9.1375631,0
295.7686938,133.6399718,-278.5619886,2.3418556,0.0280799,21.6088539,-1.3378765,2.46807,9.4132189,0
297.7671309,132.2526367,-279.9885152,2.3987405,0.0291449,21.4847677,-1.2526552,2.5615557,9.7697735,0
